NAME                                VERSION           TYPE           
Hidden Input                        1, 0, 0, 0        binary          
acl-libs                            2.3.2-r1          apk             
alpine-baselayout                   3.7.0-r0          apk             
alpine-baselayout-data              3.7.0-r0          apk             
alpine-keys                         2.5-r0            apk             
alpine-release                      3.22.2-r0         apk             
apache2-utils                       2.4.65-r0         apk             
apk-tools                           2.14.9-r3         apk             
apr                                 1.7.5-r0          apk             
apr-util                            1.6.3-r1          apk             
argon2-libs                         20190702-r5       apk             
aws/aws-crt-php                     v1.2.7            php-composer    
aws/aws-sdk-php                     3.349.3           php-composer    
barryvdh/laravel-ide-helper         v3.5.5            php-composer    
barryvdh/reflection-docblock        v2.3.1            php-composer    
bash                                5.2.37-r0         apk             
brick/math                          0.12.3            php-composer    
brotli-libs                         1.1.0-r2          apk             
busybox                             1.37.0-r20        apk             
busybox-binsh                       1.37.0-r20        apk             
c-ares                              1.34.5-r0         apk             
ca-certificates                     20250911-r0       apk             
ca-certificates-bundle              20250911-r0       apk             
carbonphp/carbon-doctrine-types     3.2.0             php-composer    
catatonit                           0.2.1-r0          apk             
clue/stream-filter                  v1.7.0            php-composer    
composer                            2.9.2             binary          
composer/class-map-generator        1.6.1             php-composer    
composer/pcre                       3.3.2             php-composer    
coreutils                           9.7-r1            apk             
coreutils-env                       9.7-r1            apk             
coreutils-fmt                       9.7-r1            apk             
coreutils-sha512sum                 9.7-r1            apk             
curl                                8.14.1-r2         apk             
dflydev/dot-access-data             v3.0.3            php-composer    
doctrine/inflector                  2.0.10            php-composer    
doctrine/lexer                      3.0.1             php-composer    
dragonmantank/cron-expression       v3.4.0            php-composer    
egulias/email-validator             4.0.4             php-composer    
enshrined/svg-sanitize              0.21.0            php-composer    
fakerphp/faker                      v1.24.1           php-composer    
filp/whoops                         2.18.3            php-composer    
findutils                           4.10.0-r0         apk             
fruitcake/php-cors                  v1.3.0            php-composer    
git                                 2.49.1-r0         apk             
git-init-template                   2.49.1-r0         apk             
graham-campbell/bounded-cache       v3.0.0            php-composer    
graham-campbell/github              v12.8.0           php-composer    
graham-campbell/manager             v5.2.0            php-composer    
graham-campbell/result-type         v1.1.3            php-composer    
guzzlehttp/guzzle                   7.9.3             php-composer    
guzzlehttp/promises                 2.2.0             php-composer    
guzzlehttp/psr7                     2.7.1             php-composer    
guzzlehttp/uri-template             v1.0.4            php-composer    
hamcrest/hamcrest-php               v2.1.1            php-composer    
icu-data-en                         76.1-r1           apk             
icu-libs                            76.1-r1           apk             
jq                                  1.8.1-r0          apk             
knplabs/github-api                  v3.16.0           php-composer    
laravel/framework                   v11.45.1          php-composer    
laravel/prompts                     v0.3.6            php-composer    
laravel/serializable-closure        v2.0.4            php-composer    
laravel/tinker                      v2.10.1           php-composer    
laravel/ui                          v4.6.1            php-composer    
lcobucci/jwt                        5.5.0             php-composer    
league/commonmark                   2.7.0             php-composer    
